we ,1
followers ,1
r ,1
what ,1
ur ,1
from ,1
k ,2
"supporters, ",1
r ,1
b ,1
off ,1
ur ,1
r ,1
u ,1
r ,1
done ,1
s ,1
last ,1
"ýnlet, ",1
k ,1
ýmpeach ,1
n ,1
s ,1
know ,3
r ,2
else ,1
4,3
"lie, ",1
n ,1
that ,1
looking ,6
4,6
2016,6
pls ,6
is ,1
srsly ,1
u ,1
unless ,1
ur ,1
b/c ,2
can't ,1
s ,2
run ,1
b4 ,1
u ,1
u ,2
r ,2
"manchester, ",1
statements ,1
great ,2
man ,2
b ,1
plz ,1
k ,1
w/ ,1
by ,1
ur ,1
if ,1
y ,1
u ,1
add ,2
new ,1
y ,1
ýslamã¢â¬â¢s ,1
s ,1
"respectfully, ",1
who ,1
ur ,1
soon ,1
kkk ,1
trump ,1
w/o ,1
"park, ",1
"rocklin, ",1
piece ,1
ago ,1
fence,1
him ,1
f ,1
wear ,1
ýd ,1
k ,1
kkk ,1
give ,1
y ,1
s ,1
gross ,1
runing ,1
with ,1
ur ,1
waking ,1
rather ,1
b ,1
hahaha ,1
huh ,1
b ,1
convention ,1
brilliant ,1
niece ,1
n ,1
r ,1
constitutional ,1
4,1
undisclosed ,1
4,1
reeling ,1
n ,1
4,1
nomination ,1
b ,1
r ,1
u ,307
"creek, ",1
fed,1
w/ ,1
u ,1
men ,1
"viejo, ",1
owing ,1
u ,1
"stuff, ",1
huh ,1
"trump, ",1
tx ,1
u ,1
to ,1
rt ,1
icon ,1
bc ,1
wake ,1
police ,1
4,1
put ,1
ur ,1
unidos ,1
y ,1
wise ,1
#makeamericagreatagain ,1
bc ,1
on ,1
ya ,1
"talks, ",1
20,1
r ,1
calls ,3
4,1
be ,1
ur ,1
burst ,1
ur ,1
so ,1
4,1
ballot ,1
4,2
up ,1
until ,1
them ,1
n ,1
with ,1
r ,1
clinton ,2
castilla ,1
y ,1
s ,1
feel ,1
u ,1
"guys, ",1
cuz ,1
ur ,1
the ,1
he's ,2
dem ,2
#more ,1
to ,1
of ,1
4,2
u ,1
landslide ,1
+f ,1
u ,1
flotus ,1
w/ ,1
lack,1
"tallahassee, ",1
election ,1
pls ,1
crap ,1
and ,1
"flint, ",1
ýn ,1
da ,1
who ,1
steals ,1
w/ ,1
no ,1
the ,1
p ,1
s ,1
"lovers, ",1
bc ,1
b ,2
raffle ,1
4,2
da ,1
ýd ,1
saoirse ,1
r ,1
night ,1
"benson, ",1
"ýrvine, ",1
